Pays;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Allemagne;7,2;8,5;10,1;10,1;10,9;11,7;12,5;13,6;13,8;14,4;14,9;14,9;15,5;16,5
Autriche;24,4;26,3;28,2;28,9;31;31,2;31,6;32,7;32,8;33,7;33,5;33,4;33,1;33,4
Belgique;2,3;2,6;3,1;3,6;4,7;5,6;6,3;7,2;7,5;8;8;8,7;9,1;9,4
Bulgarie;9,2;9,4;9,1;10,3;12;13,9;14,2;15,8;18,9;18,1;18,3;18,8;18,7;20,5
Chypre;3,1;3,3;4;5,1;5,9;6,2;6,3;7,1;8,5;9,2;9,9;9,9;10,5;13,9
Croatie;23,7;22,7;22,2;22;23,6;25,1;25,4;26,8;28;27,8;29;28,3;27,3;28
Danemark;16;16,3;17,7;18,5;20;21,9;23,4;25,5;27,2;29,3;30,8;31,8;34,7;35,7
Espagne;8,4;9,1;9,7;10,7;13;13,8;13,2;14,3;15,3;16,1;16,2;17,4;17,6;17,5
Estonie;17,4;16;17;18,6;22,9;24,6;25,3;25,5;25,3;26,1;28,2;28,7;29,1;30
Finlande;28,8;30,1;29,6;31,4;31,3;32,4;32,8;34,4;36,7;38,8;39,3;39;40,9;41,2
France;9,6;9,3;10,2;11,2;12,2;12,7;12,7;13,4;14;14,6;15;15,7;16;16,6
Grèce;7,3;7,5;8,2;8,2;8,7;10,1;11,2;13,7;15,3;15,7;15,7;15,4;17;18
Hongrie;6,9;7,4;8,6;8,6;11,7;12,7;14;15,5;16,2;14,6;14,5;14,3;13,5;12,5
Irlande;2,8;3;3,5;3,9;5,2;5,7;6,6;7,1;7,6;8,6;9,1;9,3;10,6;11,1
Italie;7,5;8,3;9,8;11,5;12,8;13;12,9;15,4;16,7;17,1;17,5;17,4;18,3;17,8
Lettonie;32,3;31,1;29,6;29,8;34,3;30,4;33,5;35,7;37;38,6;37,5;37,1;39;40,3
Lituanie;16,8;16,9;16,5;17,8;19,8;19,6;19,9;21,4;22,7;23,6;25,8;25,6;26;24,4
Luxembourg;1,4;1,5;2,7;2,8;2,9;2,9;2,9;3,1;3,5;4,5;5,1;5,4;6,3;9,1
Malte;0,1;0,1;0,2;0,2;0,2;1;1,9;2,9;3,8;4,7;5,1;6,2;7,3;8
Pays-Bas;2,5;2,8;3,3;3,6;4,3;3,9;4,5;4,7;4,7;5,4;5,7;5,8;6,5;7,4
Pologne;6,9;6,9;6,9;7,7;8,7;9,3;10,3;10,9;11,4;11,5;11,7;11,3;11;11,3
Portugal;19,5;20,8;21,9;22,9;24,4;24,2;24,6;24,6;25,7;29,5;30,5;30,9;30,6;30,3
République tchèque;7,1;7,4;7,9;8,7;10;10,5;10,9;12,8;13,9;15,1;15,1;14,9;14,8;15,2
Roumanie;17,6;17,1;18,2;20,2;22,2;22,8;21,2;22,8;23,9;24,8;24,8;25;24,5;23,9
Royaume-Uni;1,1;1,3;1,6;2,7;3,3;3,8;4,3;4,4;5,5;6,7;8,3;9;9,7;11
Slovaquie;6,4;6,6;7,8;7,7;9,4;9,1;10,3;10,5;10,1;11,7;12,9;12;11,5;11,9
Slovénie;16;15,6;15,6;15;20,1;20,4;20,3;20,8;22,4;21,5;21,9;21,3;21,1;21,1
Suède;40,7;42,4;43,9;44,7;47,9;47;48,2;50,2;50,8;51,9;53;53,4;54,2;54,6
